L_elbow,R_elbow,L_shoulder,R_shoulder,L_knee,R_knee,L_hip,R_hip,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,original_frame
99.96,159.01,113.35,103.13,169.71,171.42,6.27,71.62,0.47374556958675385,0.4500168561935425,0.4653299003839493,0.45104125142097473,0.4752322733402252,0.4452236145734787,0.40671540796756744,0.4454800933599472,0.4959726631641388,0.41466207802295685,0.36353470385074615,0.4126069247722626,0.49871934950351715,0.403320848941803,0.35941509902477264,0.4038129597902298,0.5051032602787018,0.40072888135910034,0.35829775035381317,0.4020507037639618,0.5037600249052048,0.40452203154563904,0.35831931233406067,0.40323230624198914,0.4604165405035019,0.5022797137498856,0.4610081762075424,0.5004215091466904,0.4466352164745331,0.5172136873006821,0.4898393750190735,0.4859711676836014,0.4460095316171646,0.5301325768232346,0.5097406506538391,0.4534778594970703,0.44362784922122955,0.533247634768486,0.5114225894212723,0.4526377320289612,0.4525262117385864,0.5269234925508499,0.5262687653303146,0.43376603722572327,11
156.19,138.05,130.17,80.08,164.83,142.17,154.15,112.29,0.49357935786247253,0.45056574543317157,0.4560896356900533,0.45198457439740497,0.5203643838564554,0.44365928570429486,0.38828544815381366,0.4500338137149811,0.5537432630856832,0.4120502173900604,0.3629412551720937,0.4125969310601552,0.5608698030312856,0.4011827309926351,0.35994088649749756,0.4030556281407674,0.5642920931180319,0.3987853229045868,0.35929327209790546,0.40105681618054706,0.5613448321819305,0.4025086561838786,0.36002183953921,0.40291261672973633,0.47401429216067,0.516055832306544,0.4575630823771159,0.5145653386910757,0.479836901028951,0.5548359056313833,0.470736821492513,0.5313016275564829,0.4765306810537974,0.5854155321915945,0.4754618704319,0.5265733202298483,0.471980760494868,0.5911454459031423,0.47624021768569946,0.5286504626274109,0.487221360206604,0.5904143949349722,0.48877230286598206,0.5200197696685791,13
158.3,73.99,117.4,94.85,145.0,166.15,133.28,158.73,0.5327160954475403,0.45135003328323364,0.4433462123076121,0.45360719164212543,0.6061275204022726,0.4408697287241618,0.3631127079327901,0.4567430913448334,0.6619316538174947,0.4089832603931427,0.36162487665812176,0.4121101995309194,0.676746149857839,0.39853596687316895,0.3617691993713379,0.4009448190530141,0.6764485637346903,0.3960932195186615,0.3624749779701233,0.3983648618062337,0.6707541942596436,0.39998238285382587,0.36326812704404193,0.4007396598656972,0.5006607373555502,0.5403966903686523,0.4519827365875244,0.538434902826945,0.5253686706225077,0.616149882475535,0.42792196075121564,0.5932542483011881,0.5271181563536326,0.6790753205617269,0.3993650774161021,0.6269125243028005,0.5188077986240387,0.6894362568855286,0.39783309896787006,0.6332440276940664,0.5514066716035207,0.6958010991414388,0.4026828904946645,0.637281984090805,14
160.19,57.17,109.84,99.37,158.77,176.76,142.49,154.68,0.5397649010022482,0.4521395166714986,0.4330341617266337,0.4546884000301361,0.6168839534123739,0.4404400984446208,0.34096654256184894,0.4592190384864807,0.678096612294515,0.4071250259876251,0.3642067015171051,0.41144634286562604,0.6946931878725687,0.3967345058917999,0.36521241068840027,0.4004056354363759,0.6928696235020956,0.39387766520182294,0.3681863447030385,0.3985406955083211,0.6859997510910034,0.3974315623442332,0.37028724948565167,0.40220415592193604,0.513566772143046,0.5565705498059591,0.4531054397424062,0.5574094851811727,0.5527706146240234,0.634365181128184,0.4354792833328247,0.634709378083547,0.552931567033132,0.7027420202891032,0.41301194826761883,0.697912355264028,0.5398884614308676,0.7147194544474283,0.4159846405188243,0.705760657787323,0.5957181255022684,0.7216882109642029,0.4139220515886943,0.7219989697138468,15
161.66,54.79,111.59,99.9,156.15,175.35,141.19,155.43,0.54518061876297,0.4524591664473216,0.43130343159039813,0.4551792840162913,0.6218149065971375,0.44035114844640094,0.3358452320098877,0.4590312639872233,0.6855205496152242,0.4074477553367615,0.3677232066790263,0.4105640649795532,0.7027991016705831,0.3969351251920064,0.3705274959405263,0.39976269006729126,0.7013103564580282,0.3936384717623393,0.3752632935841878,0.39828036228815716,0.6937053600947062,0.39726609985033673,0.37712545196215314,0.4023764133453369,0.5209782918294271,0.5637811024983724,0.45463184515635174,0.5656174222628275,0.5565288265546163,0.6365770300229391,0.4378403425216675,0.641336977481842,0.5607811411221822,0.7059774994850159,0.41621625423431396,0.7104311386744181,0.5454733967781067,0.7186502615610758,0.4210829238096873,0.7181715965270996,0.6159061193466187,0.7238723039627075,0.4140082796414693,0.7373098333676656,16
163.1,51.39,112.27,99.59,157.51,173.23,141.49,156.62,0.5489190419514974,0.45257269342740375,0.4325975775718689,0.4552961389223735,0.6250026822090149,0.44047744075457257,0.3370006283124288,0.45847787459691364,0.6906668941179911,0.4080943167209625,0.3713599443435669,0.4099155068397522,0.7086673378944397,0.39793627460797626,0.3749130368232727,0.3996473550796509,0.707389235496521,0.3943463961283366,0.3798397978146871,0.398288498322169,0.6990126570065817,0.39804181456565857,0.38152840733528137,0.40264808138211566,0.523490826288859,0.5654032627741495,0.45586084326108295,0.5673107107480367,0.5576960643132528,0.636849582195282,0.4392176071802775,0.6416471600532532,0.5609082579612732,0.7058197259902954,0.41606669624646503,0.7099997997283936,0.5453486442565918,0.7183302442232767,0.4209985037644704,0.7172556320826212,0.6164478262265524,0.7239863673845927,0.4139610727628072,0.7380611697832743,17
163.52,52.34,111.34,99.99,157.61,173.13,142.49,154.9,0.5508321324984232,0.4526030520598094,0.4339299996693929,0.4553120831648509,0.627393881479899,0.44098042448361713,0.338366170724233,0.457558552424113,0.6944953600565592,0.40945112705230713,0.37458060185114544,0.40973828236262005,0.7125780781110128,0.39975565671920776,0.3785686989625295,0.39962611595789593,0.7114294171333313,0.39609502752621967,0.38321153322855633,0.3983529210090637,0.7027026812235514,0.3998556236426036,0.3845361868540446,0.40294626355171204,0.525343120098114,0.5656483769416809,0.4579229454199473,0.5677952170372009,0.5582735538482666,0.6367318630218506,0.440299650033315,0.6417708396911621,0.5605900287628174,0.7057694991429647,0.41532862186431885,0.7099063396453857,0.5444703499476115,0.7184653083483378,0.41985281308492023,0.7170265515645345,0.6166949073473612,0.7244046529134115,0.4136503040790558,0.7388295332590739,18
163.79,50.8,110.43,102.5,156.11,173.47,143.34,152.18,0.5519358118375143,0.4526490271091461,0.43499984343846637,0.45526864131291706,0.6297633846600851,0.4420580367247264,0.33971404035886127,0.455896923939387,0.6978863676389059,0.41209205985069275,0.3769577244917552,0.4096525311470032,0.7157544493675232,0.40304580330848694,0.3809773127237956,0.3997630774974823,0.7150850097338358,0.39931580424308777,0.3849693735440572,0.39862563212712604,0.7065622210502625,0.4028974076112111,0.3861786723136902,0.4033579428990682,0.5268539388974508,0.5662916501363119,0.4604225655396779,0.5681428710619608,0.5587653915087382,0.6368996500968933,0.4406525393327077,0.6420157154401144,0.5597328742345175,0.7058256467183431,0.41374389330546063,0.7100659211476644,0.5429802934328715,0.7185901006062826,0.41779322425524396,0.7169409990310669,0.6155653993288676,0.7251900434494019,0.4129173954327901,0.7394961714744568,19
164.76,49.13,108.87,104.43,155.75,173.63,143.88,149.94,0.5533053080240885,0.45287198821703595,0.43560394644737244,0.45521020889282227,0.632125973701477,0.44366910060246784,0.34096335371335346,0.4529576400915782,0.7006606062253317,0.41583408912022907,0.37970388929049176,0.40905656417210895,0.7180197834968567,0.40738025307655334,0.38373903433481854,0.3998560905456543,0.7177792191505432,0.4040468732515971,0.3874027232329051,0.398891806602478,0.7098037997881571,0.4073644280433655,0.3885781168937683,0.40371959408124286,0.5280630191167196,0.5667038559913635,0.462721327940623,0.5681972106297811,0.5588871836662292,0.6370479067166647,0.4408349295457204,0.6421043674151102,0.5581784844398499,0.7060954173405966,0.4120242695013682,0.7100077668825785,0.540800154209137,0.7191575368245443,0.41545485456784564,0.7166691819826762,0.6143495639165243,0.7260168393452963,0.41189107298851013,0.739952286084493,20
165.13,49.84,108.21,107.67,155.4,173.39,144.3,147.94,0.5548655788103739,0.4532020688056946,0.43622370560963947,0.4550585349400838,0.634867270787557,0.4456820785999298,0.3428867260615031,0.45039284229278564,0.7030820250511169,0.4198846717675527,0.38242950042088825,0.40832212567329407,0.7208438316980997,0.4119919538497925,0.386665016412735,0.39993150035540265,0.7206482291221619,0.4087325831254323,0.3899003366629283,0.39909541606903076,0.7129570245742798,0.41176655888557434,0.3908051351706187,0.4039434790611267,0.5291914939880371,0.5673192540804545,0.4648895462354024,0.5682223836580912,0.5588038762410482,0.6373208165168762,0.4410817126433055,0.6424097021420797,0.5568496187527975,0.7065403660138448,0.41049594680468243,0.7099190354347229,0.5392795205116272,0.7196227113405863,0.4129449923833211,0.716916819413503,0.6124450365702311,0.7266072233517965,0.411132276058197,0.7397172848383585,21
